LDist,Dist,LorR,Type
8,5,Left,Backpack
24,8,Right,Backpack
36,1,Right,Backpack
8,3,Left,Backpack
24,6,Right,Backpack
36,1,Right,Backpack
9,3,Left,Backpack
36,1,Right,Backpack
7,4,Left,Backpack
23,10,Right,Backpack
36,1,Right,Backpack
8,4,Left,Backpack
24,5,Right,Backpack
36,1,Right,Backpack
8,5,Left,Backpack
24,10,Right,Backpack
36,1,Right,Backpack
8,3,Left,Backpack
21,5,Right,Backpack
36,1,Right,Backpack
8,3,Left,Backpack
23,5,Right,Backpack
32,3,Left,Backpack
36,1,Right,Backpack
4,4,Left,Backpack
7,17,Left,Backpack
22,5,Right,Backpack
32,3,Right,Backpack
36,1,Right,Backpack
7,5,Left,Backpack
35,2,Right,Backpack
8,4,Left,Backpack
24,12,Right,Backpack
36,1,Right,Backpack
7,4,Left,Backpack
21,10,Right,Backpack
27,7,Right,Backpack
1,7,Left,Backpack
27,7,Right,Backpack
39,1,Right,Backpack
36,1,Right,Backpack
8,5,Left,Backpack
36,1,Right,Backpack
7,5,Left,Backpack
24,7,Right,Backpack
36,1,Right,Backpack
5,6,Left,Backpack
23,8,Right,Backpack
34,1,Right,Backpack
7,3,Left,Backpack
24,4,Right,Backpack
36,1,Right,Backpack
7,3,Left,Backpack
24,6,Right,Backpack
36,1,Right,Backpack
8,20,Left,Backpack
24,6,Right,Backpack
36,1,Right,Backpack
7,4,Left,Backpack
25,6,Right,Backpack
36,0.5,Right,Backpack
50,8,Right,Backpack
10,5,Left,Backpack
7,5,Left,Backpack
25,10,Right,Backpack
35,1,Right,Backpack
8,5,Left,Backpack
25,8,Right,Backpack
36,1,Right,Backpack
7,6,Left,Backpack
25,11,Right,Backpack
36,1,Right,Backpack
6,3,Left,Backpack
26,5,Right,Backpack
36,1,Right,Backpack
49,10,Right,Backpack
7,3,Left,Backpack
26,3,Right,Backpack
35,1,Right,Backpack
48,5,Right,Backpack
6,3,Left,Backpack
27,6,Right,Backpack
36,1,Right,Backpack
7,2,Left,Backpack
22,5,Right,Backpack
36,30,Right,Backpack
47,10,Right,Backpack
7,3,Left,Backpack
25,10,Right,Backpack
35,1,Right,Backpack
49,20,Right,Backpack
8,3,Left,Backpack
26,6,Right,Backpack
36,1,Right,Backpack
47,10,Right,Backpack
7,3,Left,Backpack
25,6,Right,Backpack
36,1,Right,Backpack
7,4,Left,Backpack
25,8,Right,Backpack
36,1,Right,Backpack
49,15,Right,Backpack
7,2,Left,Backpack
25,5,Right,Backpack
35,1,Right,Backpack
48,8,Right,Backpack
7,5,Left,Backpack
25,15,Right,Backpack
35,1,Right,Backpack
47,30,Right,Backpack
6,5,Left,Backpack
35,20,Right,Backpack
47,20,Right,Backpack
7,3,Left,Backpack
25,3,Right,Backpack
36,0,Right,Backpack
44,7,Right,Backpack
7,4,Left,Backpack
26,5,Right,Backpack
36,1,Right,Backpack
49,9,Right,Backpack
7,4,Left,Backpack
27,7,Right,Backpack
35,1,Right,Backpack
7,4,Left,Backpack
25,5,Right,Backpack
36,1,Right,Backpack
47,7,Right,Backpack
27,8,Right,Backpack
35,1,Right,Backpack
49,10,Right,Backpack
7,4,Left,Backpack
25,7,Right,Backpack
35,1,Right,Backpack
48,20,Right,Backpack
7,5,Left,Backpack
25,11,Right,Backpack
36,1,Right,Backpack
47,12,Right,Backpack
5,15,Left,Backpack
7,5,Left,Backpack
25,15,Right,Backpack
35,1,Right,Backpack
47,20,Right,Backpack
7,4,Left,Backpack
26,7,Right,Backpack
36,1,Right,Backpack
48,10,Right,Backpack
12,3,Left,Backpack
36,1,Right,Backpack
46,8,Right,Backpack
7,5,Left,Backpack
26,10,Right,Backpack
36,1,Right,Backpack
7,2,Left,Backpack
24,5,Right,Backpack
36,1,Right,Backpack
8,4,Left,Backpack
25,6,Right,Backpack
25,1,Right,Backpack
48,10,Right,Backpack
8,3,Left,Backpack
25,7,Right,Backpack
36,1,Right,Backpack
47,12,Right,Backpack
7,5,Left,Backpack
25,7,Right,Backpack
35,1,Right,Backpack
47,12,Right,Backpack
4,7,Left,Backpack
7,3,Left,Backpack
35,1,Right,Backpack
8,3,Left,Backpack
25,4,Right,Backpack
35,1,Right,Backpack
6,3,Left,Backpack
25,3,Right,Backpack
35,1,Right,Backpack
26,5,Right,Backpack
36,1,Right,Backpack
26,5,Right,Backpack
35,1,Right,Backpack
6,4,Left,Backpack
26,7,Right,Backpack
36,1,Right,Backpack
48,10,Right,Backpack
25,10,Right,Backpack
36,1,Right,Backpack
47,15,Right,Backpack
8,4,Left,Backpack
24,5,Right,Backpack
35,1,Right,Backpack
6,3,Left,Backpack
26,5,Right,Backpack
35,1,Right,Backpack
7,11,Left,Backpack
24,12,Right,Backpack
35,1,Right,Backpack
8,5,Left,Backpack
25,6,Right,Backpack
36,1,Right,Backpack
48,10,Right,Backpack
8,3,Left,Backpack
36,1,Right,Backpack
47,10,Right,Backpack
7,5,Left,Backpack
11,15,Left,Backpack
38,1,Right,Backpack
48,15,Right,Backpack
35,1,Right,Backpack
47,15,Right,Backpack
9,3,Left,Backpack
35,1,Right,Backpack
47,15,Right,Backpack
37,1,Right,Backpack
47,25,Right,Backpack
9,5,Left,Backpack
24,4,Right,Backpack
39,1,Right,Backpack
47,10,Right,Backpack
9,2,Left,Backpack
33,1,Right,Backpack
47,10,Right,Backpack
39,1,Right,Backpack
45,,Right,Backpack
9,3,Left,Backpack
9,10,Left,Backpack
35,1,Right,Backpack
46,5,Right,Backpack
9,3,Left,Backpack
36,1,Right,Backpack
8,3,Left,Backpack
35,1,Right,Backpack
46,20,Right,Backpack
8,8,Left,Backpack
10,15,Left,Backpack
24,15,Right,Backpack
35,1,Right,Backpack
48,20,Right,Backpack
25,10,Right,Backpack
35,2,Right,Backpack
24,7,Right,Backpack
36,1,Right,Backpack
48,7,Right,Backpack
8,4,Left,Backpack
11,12,Left,Backpack
35,1,Right,Backpack
48,10,Right,Backpack
8,3,Left,Backpack
34,1,Right,Backpack
45,8,Right,Backpack
9,4,Left,Backpack
13,10,Left,Backpack
39,1,Right,Backpack
46,10,Right,Backpack
8,6,Left,Backpack
24,10,Right,Backpack
36,1,Right,Backpack
48,15,Right,Backpack
9,6,Left,Backpack
25,10,Right,Backpack
26,14,Right,Backpack
36,1,Right,Backpack
47,14,Right,Backpack
8,3,Left,Backpack
10,7,Left,Backpack
24,4,Right,Backpack
35,1,Right,Backpack
8,3,Left,Backpack
10,17,Left,Backpack
24,6,Right,Backpack
35,1,Right,Backpack
47,10,Right,Backpack
8,3,Left,Backpack
10,6,Left,Backpack
23,5,Right,Backpack
35,1,Right,Backpack
8,15,Left,Backpack
39,1,Right,Backpack
47,40,Right,Backpack
8,5,Left,Backpack
24,10,Right,Backpack
35,1,Right,Backpack
9,10,Left,Backpack
24,6,Right,Backpack
35,1,Right,Backpack
47,10,Right,Backpack
10,10,Left,Backpack
9,3,Left,Backpack
35,1,Right,Backpack
46,6,Right,Backpack
8,4,Left,Backpack
24,11,Right,Backpack
35,1,Right,Backpack
48,15,Right,Backpack
9,3,Left,Backpack
24,5,Right,Backpack
25,6,Right,Backpack
35,1,Right,Backpack
48,12,Right,Backpack
8,4,Left,Backpack
14,20,Left,Backpack
23,10,Right,Backpack
35,1,Right,Backpack
46,10,Right,Backpack
35,1,Right,Backpack
48,10,Right,Backpack
9,4,Left,Backpack
36,1,Right,Backpack
48,18,Right,Backpack
9,7,Right,Backpack
35,1,Right,Backpack
9,3,Left,Backpack
23,6,Right,Backpack
35,1,Right,Backpack
47,10,Right,Backpack
8,5,Left,Backpack
9,15,Left,Backpack
9,4,Left,Backpack
25,7,Right,Backpack
36,1,Right,Backpack
47,12,Right,Backpack
23,3,Right,Backpack
36,1,Right,Backpack
45,15,Right,Backpack
7,5,Left,Backpack
23,10,Right,Backpack
36,1,Right,Backpack
48,15,Right,Backpack
8,4,Left,Backpack
11,8,Left,Backpack
24,6,Right,Backpack
35,1,Right,Backpack
48,10,Right,Backpack
8,4,Left,Backpack
23,10,Right,Backpack
35,1,Right,Backpack
48,13,Right,Backpack
1,2,Left,Backpack
13,8,Left,Backpack
35,1,Right,Backpack
50,8,Right,Backpack
8,3,Left,Backpack
8,3,Left,Backpack
25,6,Right,Backpack
36,1,Right,Backpack
9,4,Left,Backpack
36,1,Right,Backpack
49,14,Right,Backpack
8,3,Left,Backpack
11,10,Left,Backpack
36,1,Right,Backpack
46,8,Right,Backpack
