LDist,Dist,LorR,Type
4,4,Left,Cloth
4,21,Left,Cloth
4,4,Left,Cloth
5,6,Right,Cloth
7,4,Right,Cloth
7,7,Right,Cloth
7,2,Right,Cloth
8,5,Right,Cloth
9,10,Left,Cloth
10,10,Left,Cloth
10,1,Right,Cloth
12,8,Left,Cloth
12,2,Right,Cloth
13,11,Left,Cloth
13,9,Left,Cloth
13,1,Right,Cloth
14,25,Left,Cloth
14,9,Left,Cloth
14,8,Left,Cloth
14,2,Right,Cloth
14,1,Right,Cloth
15,6,Left,Cloth
15,10,Left,Cloth
15,5,Left,Cloth
16,12,Left,Cloth
16,5,Left,Cloth
16,12,Left,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,2,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,2,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,2,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,2,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
16,2,Right,Cloth
16,1,Right,Cloth
16,1,Right,Cloth
17,16,Left,Cloth
17,1,Left,Cloth
17,1.5,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,17,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,3,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,2,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
17,1,Right,Cloth
19,7,Left,Cloth
19,1,Right,Cloth
19,2,Right,Cloth
20,4,Left,Cloth
20,6,Left,Cloth
20,7,Left,Cloth
20,2,Left,Cloth
20,3,Left,Cloth
20,3,Left,Cloth
20,4,Left,Cloth
20,5,Left,Cloth
21,6,Left,Cloth
21,6,Left,Cloth
21,7,Left,Cloth
21,5,Left,Cloth
26,20,Left,Cloth
30,5,Left,Cloth
30,4,Left,Cloth
32,1,Left,Cloth
