LDist,Dist,LorR,Type
33,2,Left,Eyeglasses
34,1,Left,Eyeglasses
34,2,Left,Eyeglasses
34,2,Left,Eyeglasses
34,2,Left,Eyeglasses
34,2,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,2,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,2,Left,Eyeglasses
34,2,Left,Eyeglasses
34,2,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,2,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
34,2,Left,Eyeglasses
34,1,Left,Eyeglasses
34,1,Left,Eyeglasses
35,1,Left,Eyeglasses
37,1,Left,Eyeglasses
37,1,Left,Eyeglasses
37,1,Left,Eyeglasses
39,5,Right,Eyeglasses
45,15,Left,Eyeglasses
46,3,Right,Eyeglasses
